Performance Evaluation,,,,,,,
Subject_ID,Subject,Accuracy,F1 Score,MSE,Mean Accuracy,Precision,Accuracy Scores
2,S2,0.779429,0.785724,0.220571,0.484974,0.778879,
3,S3,0.775614,0.797916,0.224386,0.446395,0.784859,0.3994491  0.31879929 0.49751619 0.51070041 0.50342554
4,S4,0.766239,0.771312,0.233761,0.521873,0.766281,0.63945969 0.42125941 0.53976207 0.50466815 0.50906041
5,S5, 0.806237   0.712103   0.193763    0.655772   0.777374,,,,,0.7637525  0.7672085  0.63565725 0.56591586 0.55845549
6,S6, 0.768765  0.780704  0.231235     0.558661   0.759875,,,,,0.52147817 0.6969754  0.5814895  0.50692025 0.48644195
7,S7, 0.798525   0.700065   0.201475    0.553368   0.754898,,,,,0.44443674 0.61031757 0.59554847 0.56096152 0.5555761
8,S8, 0.792532   0.700906   0.207468    0.512279   0.785313,,,,,0.35583325 0.4824228  0.61948771 0.55285583 0.55079377
9,S9, 0.789981   0.728775   0.210019    0.488287   0.759839,,,,,0.29986268 0.48531215 0.58279591 0.5400309  0.53343469
10,S10, 0.788525   0.721226   0.211475    0.494828   0.771748,,,,,0.40070466 0.45429997 0.69995371 0.46916469 0.45001672
11,S11, 0.792928   0.718533   0.207072    0.519080   0.778277,,,,,0.58290044 0.46656817 0.45963399 0.53591002 0.55038723
12,S12, 0.802146   0.700326   0.197854    0.607914   0.803869,,,,,0.59814395 0.64237126 0.66618355 0.57384637 0.55902567
13,S13, 0.791542   0.739106   0.208458    0.487253   0.761518,,,,,0.3465113  0.43071642 0.61182075 0.54195175 0.50526586
14,S14, 0.805082   0.698829   0.194918    0.593422   0.767349,,,,,0.63415487 0.5650236  0.62693644 0.56829156 0.57270522
15,S15, 0.806921   0.706416   0.193079    0.524231   0.783125,,,,,0.23748645 0.62743947 0.63935759 0.55438097 0.56249012
16,S16, 0.799288   0.728521   0.200712    0.537125   0.790630,,,,,0.65282343 0.53502448 0.39760156 0.55170929 0.54846754
17,S17, 1.000000   0.000000   0.000000    1.000000   0.000000,,,,,
18,S18, 0.805496   0.841675   0.194504     0.561558   0.798674,,,,,0.61578491 0.57098188 0.52553978 0.54603551 0.54944879
19,S19, 0.776927   0.741913   0.223073     0.568597   0.757630,,,,,0.4870716  0.71894418 0.60900729 0.51335682 0.51460443
20,S20, 0.794884   0.724299   0.205116     0.592317   0.760436,,,,,0.55395303 0.70593242 0.61716468 0.53775907 0.54677616
21,S21, 0.787144   0.714471   0.212856     0.522441   0.784537,,,,,0.47006416 0.46955574 0.63251422 0.51372748 0.52634127
22,S22, 0.786443   0.736252   0.213557    0.515559   0.763772,,,,,0.34910232 0.6478374  0.55446176 0.5162837  0.51011196
23,S23, 0.775083   0.724769   0.224917     0.482083   0.773433,,,,,0.31103467 0.65173626 0.40500278 0.51785624 0.52478628
24,S24, 0.791333   0.710803   0.208667    0.539340   0.771459,,,,,0.43642735 0.58898265 0.62447559 0.52212052 0.52469489
25,S25, 0.803462   0.761035   0.196538    0.697216   0.765448,,,,,0.81433122 0.81634936 0.75147713 0.55480718 0.54911735
26,S26, 0.790895   0.714417   0.209105    0.519012   0.753840,,,,,0.34078414 0.59796002 0.57669215 0.54078754 0.53883437
27,S27, 0.805017   0.729824   0.194983    0.601650   0.821315,,,,,0.76208092 0.50996532 0.62625725 0.55790885 0.55203589
28,S28,0.819647,0.720796,0.180353,0.607502,0.854492,0.59237384 0.62710263 0.61936825 0.58768635 0.61098117
29,S29,0.800503,0.708079,0.199497,0.566805,0.82188,0.43755633 0.59108265 0.69121309 0.55913672 0.5550338
30,S30,0.794684,0.833181,0.205316,0.516581,0.813736,0.61285564 0.49010654 0.44830816 0.52757288 0.50406276
31,S31,0.794477,0.723458,0.205523,0.627958,0.758616,0.78632681 0.69936215 0.57793527 0.53794    0.53822348
32,S32,0.789031,0.723359,0.210969,0.608046,0.775594,0.71477973 0.70847235 0.55512262 0.53012518 0.5317325
33,S33,0.808651,0.699245,0.191349,0.655948,0.787809,0.84657349 0.67064958 0.6236663  0.57997393 0.55887607
34,S34,0.799912,0.684911,0.200088,0.628671,0.788697,0.66949004 0.66080105 0.65878748 0.58041147 0.57386737
35,S35,0.795738,0.732225,0.204262,0.553152,0.763056,0.46466662 0.62888312 0.58861616 0.53296082 0.55063305
